[2025-03-03 03:06:47,079] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,086] INFO [Broker id=0] Leader connect-offsets-18 with topic id Some(2IuF_FgBRk-FUZ5qL0aLkA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,090] INFO [Broker id=0] Leader __consumer_offsets-39 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,095] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,099] INFO [Broker id=0] Leader user-created-0 with topic id Some(aVyb8ZncRmWuBWvlf0r3eg) starts at leader epoch 0 from offset 44 with partition epoch 0, high watermark 44, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,102] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 5 with partition epoch 0, high watermark 5, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,103] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 83 with partition epoch 0, high watermark 83, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,103] INFO [Broker id=0] Leader connect-offsets-15 with topic id Some(2IuF_FgBRk-FUZ5qL0aLkA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,107] INFO [Broker id=0] Leader cart-empty-0 with topic id Some(3P4gZ1RxTuy0ry1Risz-gA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,110] INFO [Broker id=0] Leader connect-offsets-12 with topic id Some(2IuF_FgBRk-FUZ5qL0aLkA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,112] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,119] INFO [Broker id=0] Leader product-update-0 with topic id Some(EAE1HkEcRUmPrUWq_14iow) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,123] INFO [Broker id=0] Leader payment-0 with topic id Some(VQRQ-IcTRx6bGLjyKXvJfw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,128] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,131] INFO [Broker id=0] Leader connect-offsets-9 with topic id Some(2IuF_FgBRk-FUZ5qL0aLkA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
